Latitude,Longitude,Altitude,MagX,MagY,MagZ,NetField,TimeStamp
67.5833332,25.096124,0.0,-44.526,-4.423,-43.101,62.127,03/12/2023 19:25:14
67.5833332,25.096124,0.0,-44.825,-4.273,-43.851,62.853,03/12/2023 19:25:14
67.5833332,25.096124,0.0,-49.173,-2.773,-41.227,64.229,03/12/2023 19:25:15
67.5833332,25.096124,0.0,-46.999,-3.223,-42.127,63.198,03/12/2023 19:25:15
67.5833332,25.096124,0.0,-47.599,-6.072,-42.277,63.952,03/12/2023 19:25:15
67.5833332,25.096124,0.0,-41.902,-12.218,-45.800,63.267,03/12/2023 19:25:15
67.5833332,25.096124,0.0,-36.580,-14.767,-46.474,60.959,03/12/2023 19:25:15
67.5833332,25.096124,0.0,-44.825,-10.494,-43.851,63.579,03/12/2023 19:25:16
67.5833332,25.096124,0.0,-38.529,-10.869,-48.573,62.944,03/12/2023 19:25:16
67.5833332,25.096124,0.0,-41.002,-6.746,-48.423,63.809,03/12/2023 19:25:16
67.5833332,25.096124,0.0,-40.178,-4.498,-48.873,63.428,03/12/2023 19:25:16
67.5833332,25.096124,0.0,-33.806,-7.721,-50.522,61.278,03/12/2023 19:25:16
67.5833332,25.096124,0.0,-31.708,-7.046,-52.021,61.329,03/12/2023 19:25:17
67.5833332,25.096124,0.0,-32.007,-9.070,-51.347,61.182,03/12/2023 19:25:17
67.5833332,25.096124,0.0,-27.510,-13.118,-54.945,62.832,03/12/2023 19:25:17
67.5833332,25.096124,0.0,-32.382,-9.445,-53.446,63.200,03/12/2023 19:25:17
67.5833332,25.096124,0.0,-31.333,-2.773,-50.672,59.641,03/12/2023 19:25:17
67.5833332,25.096124,0.0,-32.607,-1.649,-51.871,61.291,03/12/2023 19:25:18
67.5833332,25.096124,0.0,-29.834,-2.249,-54.195,61.905,03/12/2023 19:25:18
67.5833332,25.096124,0.0,-32.907,3.673,-53.745,63.126,03/12/2023 19:25:18
67.5833332,25.096124,0.0,-36.880,1.049,-50.972,62.923,03/12/2023 19:25:18
67.5833332,25.096124,0.0,-37.404,1.349,-49.398,61.976,03/12/2023 19:25:18
67.5833332,25.096124,0.0,-39.278,-1.874,-48.348,62.321,03/12/2023 19:25:19
67.5833332,25.096124,0.0,-40.553,-.525,-50.297,64.611,03/12/2023 19:25:19
67.5833332,25.096124,0.0,-43.176,-1.724,-47.824,64.454,03/12/2023 19:25:19
67.5833332,25.096124,0.0,-41.227,-2.474,-49.398,64.389,03/12/2023 19:25:19
67.5833332,25.096124,0.0,-41.377,-1.274,-47.074,62.687,03/12/2023 19:25:19
67.5833332,25.096124,0.0,-43.026,-2.099,-46.474,63.368,03/12/2023 19:25:20
67.5833332,25.096124,0.0,-42.801,-2.699,-46.325,63.129,03/12/2023 19:25:20
67.5833332,25.096124,0.0,-44.076,-1.874,-47.824,65.064,03/12/2023 19:25:20
67.5833332,25.096124,0.0,-41.077,-1.424,-47.824,63.059,03/12/2023 19:25:20
67.5833332,25.096124,0.0,-43.176,-2.249,-46.624,63.585,03/12/2023 19:25:20
67.5833332,25.096124,0.0,-41.977,-3.223,-49.248,64.791,03/12/2023 19:25:21
67.5833332,25.096124,0.0,-40.028,-2.624,-47.524,62.190,03/12/2023 19:25:21
67.5833332,25.096124,0.0,-44.076,-1.349,-47.449,64.776,03/12/2023 19:25:21
67.5833332,25.096124,0.0,-40.253,-3.148,-48.348,62.990,03/12/2023 19:25:21
67.5833332,25.096124,0.0,-41.977,-2.024,-48.573,64.230,03/12/2023 19:25:21
67.5833332,25.096124,0.0,-41.677,-2.848,-49.473,64.751,03/12/2023 19:25:22
67.5833332,25.096124,0.0,-42.801,-2.923,-47.974,64.358,03/12/2023 19:25:22
67.5833332,25.096124,0.0,-43.251,-2.773,-47.674,64.429,03/12/2023 19:25:22
67.5833332,25.096124,0.0,-42.876,-4.572,-47.449,64.115,03/12/2023 19:25:22
67.5833332,25.096124,0.0,-42.951,-7.796,-49.323,65.866,03/12/2023 19:25:22
67.5833332,25.096124,0.0,-42.277,-5.922,-49.998,65.743,03/12/2023 19:25:23
67.5833332,25.096124,0.0,-40.028,-4.947,-49.098,63.540,03/12/2023 19:25:23
67.5833332,25.096124,0.0,-39.503,5.322,-47.374,61.912,03/12/2023 19:25:23
67.5833332,25.096124,0.0,-41.902,2.848,-47.824,63.647,03/12/2023 19:25:23
67.5833332,25.096124,0.0,-47.974,10.119,-41.377,64.156,03/12/2023 19:25:23
67.5833332,25.096124,0.0,-47.749,9.445,-41.452,63.933,03/12/2023 19:25:24
67.5833332,25.096124,0.0,-52.921,6.072,-38.979,66.006,03/12/2023 19:25:24
67.5833332,25.096124,0.0,-51.122,3.598,-41.452,65.914,03/12/2023 19:25:24
67.5833332,25.096124,0.0,-50.522,3.448,-39.503,64.225,03/12/2023 19:25:24
67.5833332,25.096124,0.0,-53.521,2.474,-37.779,65.558,03/12/2023 19:25:24
67.5833332,25.096124,0.0,-54.045,-1.049,-36.955,65.480,03/12/2023 19:25:25
67.5833332,25.096124,0.0,-55.020,-3.523,-34.856,65.227,03/12/2023 19:25:25
67.5833332,25.096124,0.0,-52.396,.675,-39.503,65.623,03/12/2023 19:25:25
67.5833332,25.096124,0.0,-52.171,.075,-36.880,63.890,03/12/2023 19:25:25
67.5833332,25.096124,0.0,-53.671,-3.523,-35.381,64.379,03/12/2023 19:25:25
67.5833332,25.096124,0.0,-52.996,-.974,-37.105,64.701,03/12/2023 19:25:26
67.5833332,25.096124,0.0,-49.998,-1.424,-36.955,62.189,03/12/2023 19:25:26
67.5833332,25.096124,0.0,-54.420,-1.424,-35.755,65.131,03/12/2023 19:25:26
67.5833332,25.096124,0.0,-50.072,-2.024,-35.530,61.431,03/12/2023 19:25:26
67.5833332,25.096124,0.0,-49.773,-1.649,-34.931,60.829,03/12/2023 19:25:26
67.5833332,25.096124,0.0,-54.945,-.900,-36.055,65.725,03/12/2023 19:25:27
67.5833332,25.096124,0.0,-53.745,.900,-33.881,63.540,03/12/2023 19:25:27
67.5833332,25.096124,0.0,-52.471,1.124,-36.580,63.973,03/12/2023 19:25:27
67.5833332,25.096124,0.0,-52.021,-.450,-37.854,64.338,03/12/2023 19:25:27
67.5833332,25.096124,0.0,-51.647,-3.373,-37.704,64.034,03/12/2023 19:25:27
67.5833332,25.096124,0.0,-48.348,-2.773,-41.902,64.039,03/12/2023 19:25:28
67.5833332,25.096124,0.0,-48.723,-2.699,-41.827,64.271,03/12/2023 19:25:28
67.5833332,25.096124,0.0,-49.473,-1.049,-40.628,64.026,03/12/2023 19:25:28
67.5833332,25.096124,0.0,-51.122,-1.349,-39.878,64.850,03/12/2023 19:25:28
67.5833332,25.096124,0.0,-50.672,-1.649,-40.628,64.969,03/12/2023 19:25:28
67.5833332,25.096124,0.0,-46.699,4.947,-42.727,63.489,03/12/2023 19:25:29
67.5833332,25.096124,0.0,-44.750,14.692,-43.851,64.353,03/12/2023 19:25:29
67.5833332,25.096124,0.0,-55.994,.525,-29.834,63.448,03/12/2023 19:25:29
67.5833332,25.096124,0.0,-50.597,4.423,-27.660,57.833,03/12/2023 19:25:29
67.5833332,25.096124,0.0,-55.020,4.722,-21.588,59.292,03/12/2023 19:25:29
67.5833332,25.096124,0.0,-54.345,1.649,-37.629,66.122,03/12/2023 19:25:30
67.5833332,25.096124,0.0,-52.321,-2.549,-32.382,61.584,03/12/2023 19:25:30
67.5833332,25.096124,0.0,-55.020,-2.024,-25.036,60.482,03/12/2023 19:25:30
67.5833332,25.096124,0.0,-51.047,.225,-37.479,63.329,03/12/2023 19:25:30
67.5833332,25.096124,0.0,-47.974,12.218,-39.653,63.428,03/12/2023 19:25:30
67.5833332,25.096124,0.0,-52.171,7.571,-37.854,64.901,03/12/2023 19:25:31
67.5833332,25.096124,0.0,-55.245,8.845,-37.255,67.217,03/12/2023 19:25:31
67.5833332,25.096124,0.0,-46.624,13.568,-39.728,62.739,03/12/2023 19:25:31
67.5833332,25.096124,0.0,-49.623,12.593,-38.529,64.074,03/12/2023 19:25:31
67.5833332,25.096124,0.0,-52.246,11.694,-33.282,63.040,03/12/2023 19:25:31
67.5833332,25.096124,0.0,-59.817,8.995,-17.840,63.066,03/12/2023 19:25:32
67.5833332,25.096124,0.0,-54.870,6.297,-24.062,60.244,03/12/2023 19:25:32
67.5833332,25.096124,0.0,-58.843,6.821,-19.339,62.314,03/12/2023 19:25:32
67.5833332,25.096124,0.0,-54.195,10.869,-27.585,61.775,03/12/2023 19:25:32
67.5833332,25.096124,0.0,-55.844,4.048,-30.208,63.620,03/12/2023 19:25:32
67.5833332,25.096124,0.0,-51.272,8.995,-35.231,62.856,03/12/2023 19:25:33
67.5833332,25.096124,0.0,-51.347,8.395,-35.156,62.792,03/12/2023 19:25:33
67.5833332,25.096124,0.0,-53.146,2.923,-34.031,63.176,03/12/2023 19:25:33
67.5833332,25.096124,0.0,-53.895,2.399,-35.306,64.474,03/12/2023 19:25:33
67.5833332,25.096124,0.0,-57.568,4.273,-35.006,67.511,03/12/2023 19:25:33
67.5833332,25.096124,0.0,-51.497,3.073,-37.329,63.678,03/12/2023 19:25:34
67.5833332,25.096124,0.0,-44.451,4.123,-41.077,60.665,03/12/2023 19:25:34
67.5833332,25.096124,0.0,-50.372,2.174,-32.382,59.922,03/12/2023 19:25:34
67.5833332,25.096124,0.0,-50.147,-.300,-34.856,61.072,03/12/2023 19:25:34
67.5833332,25.096124,0.0,-52.546,-.750,-36.355,63.901,03/12/2023 19:25:34
67.5833332,25.096124,0.0,-53.671,-1.499,-33.731,63.408,03/12/2023 19:25:35
67.5833332,25.096124,0.0,-54.720,-1.574,-29.159,62.024,03/12/2023 19:25:35
67.5833332,25.096124,0.0,-60.117,-3.673,-12.143,61.441,03/12/2023 19:25:35
67.5833332,25.096124,0.0,-46.100,5.172,-27.810,54.086,03/12/2023 19:25:35
67.5833332,25.096124,0.0,-45.950,2.474,-17.390,49.193,03/12/2023 19:25:35
67.5833332,25.096124,0.0,-47.749,-.375,-14.767,49.981,03/12/2023 19:25:36
67.5833332,25.096124,0.0,-50.897,-4.572,-3.898,51.250,03/12/2023 19:25:36
67.5833332,25.096124,0.0,-44.600,7.046,-29.159,53.750,03/12/2023 19:25:36
67.5833332,25.096124,0.0,-43.626,5.847,-29.909,53.216,03/12/2023 19:25:36
67.5833332,25.096124,0.0,-51.946,3.223,-14.317,53.980,03/12/2023 19:25:36
67.5833332,25.096124,0.0,-49.398,-.150,-9.970,50.394,03/12/2023 19:25:37
67.5833332,25.096124,0.0,-48.648,2.249,-18.590,52.128,03/12/2023 19:25:37
67.5833332,25.096124,0.0,-50.972,-.450,-11.843,52.332,03/12/2023 19:25:37
67.5833332,25.096124,0.0,-54.045,-.300,-5.997,54.378,03/12/2023 19:25:37
67.5833332,25.096124,0.0,-50.522,2.923,-18.515,53.887,03/12/2023 19:25:37
67.5833332,25.096124,0.0,-48.199,7.421,-28.484,56.476,03/12/2023 19:25:38
67.5833332,25.096124,0.0,-51.272,8.470,-18.590,55.192,03/12/2023 19:25:38
67.5833332,25.096124,0.0,-49.623,13.717,-24.062,56.829,03/12/2023 19:25:38
67.5833332,25.096124,0.0,-67.463,10.044,-13.193,69.471,03/12/2023 19:25:38
67.5833332,25.096124,0.0,-52.846,8.695,-20.164,57.227,03/12/2023 19:25:38
67.5833332,25.096124,0.0,-30.583,23.087,-42.052,56.892,03/12/2023 19:25:39
67.5833332,25.096124,0.0,-38.454,2.624,-25.036,45.961,03/12/2023 19:25:39
67.5833332,25.096124,0.0,-36.505,-17.615,-18.740,44.655,03/12/2023 19:25:39
67.5833332,25.096124,0.0,-44.600,16.641,-31.333,56.990,03/12/2023 19:25:39
67.5833332,25.096124,0.0,-44.975,2.474,-27.960,53.015,03/12/2023 19:25:39
67.5833332,25.096124,0.0,-44.900,3.073,-27.510,52.747,03/12/2023 19:25:40
67.5833332,25.096124,0.0,-46.999,4.348,-25.636,53.712,03/12/2023 19:25:40
67.5833332,25.096124,0.0,-45.275,5.247,-25.786,52.367,03/12/2023 19:25:40
67.5833332,25.096124,0.0,-45.350,5.097,-27.810,53.441,03/12/2023 19:25:40
67.5833332,25.096124,0.0,-45.425,6.821,-27.135,53.351,03/12/2023 19:25:40
67.5833332,25.096124,0.0,-32.682,28.709,-31.408,53.654,03/12/2023 19:25:41
67.5833332,25.096124,0.0,-38.529,16.941,-25.261,49.087,03/12/2023 19:25:41
67.5833332,25.096124,0.0,-50.897,10.794,-26.985,58.611,03/12/2023 19:25:41
67.5833332,25.096124,0.0,-36.580,26.086,-30.658,54.392,03/12/2023 19:25:41
67.5833332,25.096124,0.0,-40.928,14.392,-29.159,52.273,03/12/2023 19:25:41
67.5833332,25.096124,0.0,-40.253,13.568,-24.736,49.155,03/12/2023 19:25:42
67.5833332,25.096124,0.0,-42.052,18.140,-22.488,51.021,03/12/2023 19:25:42
67.5833332,25.096124,0.0,-41.677,23.162,-27.135,54.861,03/12/2023 19:25:42
67.5833332,25.096124,0.0,-40.403,18.665,-24.736,50.918,03/12/2023 19:25:42
67.5833332,25.096124,0.0,-41.677,13.043,-27.210,51.454,03/12/2023 19:25:42
67.5833332,25.096124,0.0,-45.350,8.096,-25.111,52.467,03/12/2023 19:25:43
67.5833332,25.096124,0.0,-43.851,7.721,-23.987,50.575,03/12/2023 19:25:43
67.5833332,25.096124,0.0,-44.825,2.998,-26.011,51.912,03/12/2023 19:25:43
67.5833332,25.096124,0.0,-45.725,-.300,-24.287,51.775,03/12/2023 19:25:43
67.5833332,25.096124,0.0,-45.800,-.450,-24.287,51.843,03/12/2023 19:25:43
67.5833332,25.096124,0.0,-46.624,-1.874,-25.111,52.990,03/12/2023 19:25:44
67.5833332,25.096124,0.0,-46.774,-1.649,-23.087,52.188,03/12/2023 19:25:44
67.5833332,25.096124,0.0,-46.774,-1.799,-23.312,52.293,03/12/2023 19:25:44
67.5833332,25.096124,0.0,-46.175,-3.523,-26.385,53.298,03/12/2023 19:25:44
67.5833332,25.096124,0.0,-46.999,-3.748,-26.011,53.847,03/12/2023 19:25:44
67.5833332,25.096124,0.0,-47.599,-3.898,-26.910,54.818,03/12/2023 19:25:45
67.5833332,25.096124,0.0,-45.875,-5.097,-27.360,53.657,03/12/2023 19:25:45
67.5833332,25.096124,0.0,-45.950,-4.797,-26.910,53.465,03/12/2023 19:25:45
67.5833332,25.096124,0.0,-45.275,-2.624,-26.910,52.734,03/12/2023 19:25:45
67.5833332,25.096124,0.0,-47.749,-2.923,-26.610,54.741,03/12/2023 19:25:45
67.5833332,25.096124,0.0,-44.151,.675,-29.684,53.206,03/12/2023 19:25:46
67.5833332,25.096124,0.0,-43.326,-2.998,-30.208,52.903,03/12/2023 19:25:46
67.5833332,25.096124,0.0,-43.476,-8.695,-30.283,53.692,03/12/2023 19:25:46
67.5833332,25.096124,0.0,-45.725,-2.624,-29.984,54.742,03/12/2023 19:25:46
67.5833332,25.096124,0.0,-43.326,-2.549,-32.832,54.421,03/12/2023 19:25:46
67.5833332,25.096124,0.0,-44.151,-6.072,-30.658,54.093,03/12/2023 19:25:47
67.5833332,25.096124,0.0,-39.503,-5.922,-30.958,50.537,03/12/2023 19:25:47
67.5833332,25.096124,0.0,-40.403,-3.523,-32.682,52.086,03/12/2023 19:25:47
67.5833332,25.096124,0.0,-43.101,-2.998,-33.507,54.675,03/12/2023 19:25:47
67.5833332,25.096124,0.0,-37.779,1.049,-32.157,49.623,03/12/2023 19:25:47
67.5833332,25.096124,0.0,-23.687,10.344,-43.701,50.773,03/12/2023 19:25:48
67.5833332,25.096124,0.0,-28.334,21.063,-32.307,47.857,03/12/2023 19:25:48
67.5833332,25.096124,0.0,-23.537,13.493,-44.451,52.076,03/12/2023 19:25:48
67.5833332,25.096124,0.0,-23.762,17.690,-40.103,49.858,03/12/2023 19:25:48
67.5833332,25.096124,0.0,-19.414,27.885,-39.728,52.276,03/12/2023 19:25:48
67.5833332,25.096124,0.0,-28.334,21.588,-32.982,48.546,03/12/2023 19:25:49
67.5833332,25.096124,0.0,-42.427,8.470,-11.244,44.701,03/12/2023 19:25:49
67.5833332,25.096124,0.0,-45.275,6.896,-10.494,46.984,03/12/2023 19:25:49
67.5833332,25.096124,0.0,-39.428,13.643,-28.634,50.603,03/12/2023 19:25:49
67.5833332,25.096124,0.0,-45.875,5.247,-14.467,48.387,03/12/2023 19:25:49
67.5833332,25.096124,0.0,-39.278,10.119,-28.634,49.650,03/12/2023 19:25:50
67.5833332,25.096124,0.0,-39.803,6.971,-28.334,49.353,03/12/2023 19:25:50
67.5833332,25.096124,0.0,-40.628,3.898,-30.058,50.688,03/12/2023 19:25:50
67.5833332,25.096124,0.0,-41.302,4.423,-28.709,50.494,03/12/2023 19:25:50
67.5833332,25.096124,0.0,-41.377,3.823,-26.910,49.506,03/12/2023 19:25:50
67.5833332,25.096124,0.0,-44.376,5.097,-26.460,51.917,03/12/2023 19:25:51
67.5833332,25.096124,0.0,-44.526,4.273,-26.161,51.818,03/12/2023 19:25:51
67.5833332,25.096124,0.0,-44.675,3.073,-27.060,52.322,03/12/2023 19:25:51
67.5833332,25.096124,0.0,-44.301,2.174,-27.435,52.153,03/12/2023 19:25:51
67.5833332,25.096124,0.0,-43.776,2.099,-28.784,52.433,03/12/2023 19:25:51
67.5833332,25.096124,0.0,-43.101,.900,-29.159,52.046,03/12/2023 19:25:52
67.5833332,25.096124,0.0,-43.551,2.699,-28.185,51.946,03/12/2023 19:25:52
67.5833332,25.096124,0.0,-42.951,2.399,-28.110,51.388,03/12/2023 19:25:52
67.5833332,25.096124,0.0,-42.727,1.124,-29.759,52.081,03/12/2023 19:25:52
67.5833332,25.096124,0.0,-41.377,.000,-28.784,50.404,03/12/2023 19:25:52
67.5833332,25.096124,0.0,-44.226,1.874,-28.035,52.396,03/12/2023 19:25:53
67.5833332,25.096124,0.0,-44.900,3.298,-28.634,53.356,03/12/2023 19:25:53
67.5833332,25.096124,0.0,-43.176,1.049,-28.409,51.695,03/12/2023 19:25:53
67.5833332,25.096124,0.0,-44.301,3.073,-28.259,52.636,03/12/2023 19:25:53
67.5833332,25.096124,0.0,-42.502,2.099,-26.985,50.388,03/12/2023 19:25:53
67.5833332,25.096124,0.0,-41.827,1.874,-27.285,49.975,03/12/2023 19:25:54
67.5833332,25.096124,0.0,-45.125,2.099,-28.185,53.245,03/12/2023 19:25:54
67.5833332,25.096124,0.0,-44.825,2.399,-27.960,52.885,03/12/2023 19:25:54
67.5833332,25.096124,0.0,-45.200,1.499,-27.210,52.780,03/12/2023 19:25:54
67.5833332,25.096124,0.0,-43.401,.825,-28.035,51.675,03/12/2023 19:25:54
67.5833332,25.096124,0.0,-43.101,.900,-29.084,52.004,03/12/2023 19:25:55
67.5833332,25.096124,0.0,-42.502,.974,-27.660,50.719,03/12/2023 19:25:55
67.5833332,25.096124,0.0,-43.701,1.124,-26.835,51.295,03/12/2023 19:25:55
67.5833332,25.096124,0.0,-44.226,.900,-26.460,51.545,03/12/2023 19:25:55
67.5833332,25.096124,0.0,-44.151,.974,-26.835,51.676,03/12/2023 19:25:55
67.5833332,25.096124,0.0,-44.151,1.799,-26.236,51.389,03/12/2023 19:25:56
67.5833332,25.096124,0.0,-42.727,-.600,-27.435,50.780,03/12/2023 19:25:56
67.5833332,25.096124,0.0,-42.502,-.225,-27.135,50.426,03/12/2023 19:25:56
67.5833332,25.096124,0.0,-44.301,1.199,-27.810,52.320,03/12/2023 19:25:56
67.5833332,25.096124,0.0,-43.251,1.874,-27.360,51.213,03/12/2023 19:25:56
67.5833332,25.096124,0.0,-42.801,1.274,-27.735,51.018,03/12/2023 19:25:57
67.5833332,25.096124,0.0,-43.026,3.298,-28.185,51.541,03/12/2023 19:25:57
67.5833332,25.096124,0.0,-43.776,1.199,-26.460,51.166,03/12/2023 19:25:57
67.5833332,25.096124,0.0,-45.875,1.424,-27.360,53.433,03/12/2023 19:25:57
67.5833332,25.096124,0.0,-43.701,1.649,-28.559,52.231,03/12/2023 19:25:57
67.5833332,25.096124,0.0,-45.275,1.799,-27.435,52.969,03/12/2023 19:25:58
67.5833332,25.096124,0.0,-42.951,1.049,-27.210,50.856,03/12/2023 19:25:58
67.5833332,25.096124,0.0,-41.452,-.974,-28.634,50.390,03/12/2023 19:25:58
67.5833332,25.096124,0.0,-44.376,.300,-29.009,53.017,03/12/2023 19:25:58
67.5833332,25.096124,0.0,-42.202,-.825,-29.384,51.430,03/12/2023 19:25:58
67.5833332,25.096124,0.0,-41.302,-1.874,-29.159,50.593,03/12/2023 19:25:59
67.5833332,25.096124,0.0,-44.600,.375,-28.409,52.881,03/12/2023 19:25:59
67.5833332,25.096124,0.0,-41.377,-.825,-30.358,51.326,03/12/2023 19:25:59
67.5833332,25.096124,0.0,-42.352,-.450,-27.735,50.627,03/12/2023 19:25:59
67.5833332,25.096124,0.0,-41.902,-.150,-27.510,50.126,03/12/2023 19:25:59
67.5833332,25.096124,0.0,-43.401,-.075,-28.634,51.996,03/12/2023 19:26:00
67.5833332,25.096124,0.0,-43.851,-.600,-29.309,52.747,03/12/2023 19:26:00
67.5833332,25.096124,0.0,-43.476,-.900,-29.234,52.399,03/12/2023 19:26:00
67.5833332,25.096124,0.0,-40.853,.750,-28.934,50.067,03/12/2023 19:26:00
67.5833332,25.096124,0.0,-40.928,-.150,-26.760,48.900,03/12/2023 19:26:00
67.5833332,25.096124,0.0,-42.801,-.974,-29.759,52.139,03/12/2023 19:26:01
67.5833332,25.096124,0.0,-44.526,-.974,-28.859,53.069,03/12/2023 19:26:01
67.5833332,25.096124,0.0,-44.675,-1.349,-29.609,53.613,03/12/2023 19:26:01
67.5833332,25.096124,0.0,-42.727,2.324,-30.508,52.552,03/12/2023 19:26:01
67.5833332,25.096124,0.0,-44.750,.750,-28.259,52.932,03/12/2023 19:26:01
67.5833332,25.096124,0.0,-29.084,-18.815,-30.208,45.961,03/12/2023 19:26:02
67.5833332,25.096124,0.0,-23.537,-34.856,-27.585,50.298,03/12/2023 19:26:02
67.5833332,25.096124,0.0,-30.808,-34.781,-27.060,53.769,03/12/2023 19:26:02
67.5833332,25.096124,0.0,-15.292,-35.905,-27.660,47.834,03/12/2023 19:26:02
67.5833332,25.096124,0.0,-15.142,-27.960,-30.583,44.117,03/12/2023 19:26:02
67.5833332,25.096124,0.0,-25.786,-33.282,-30.433,51.950,03/12/2023 19:26:03
67.5833332,25.096124,0.0,-29.009,-31.033,-31.033,52.608,03/12/2023 19:26:03
67.5833332,25.096124,0.0,-25.711,-28.185,-35.530,52.133,03/12/2023 19:26:03
67.5833332,25.096124,0.0,-14.467,-36.805,-31.183,50.361,03/12/2023 19:26:03
67.5833332,25.096124,0.0,7.196,-29.909,-38.154,49.011,03/12/2023 19:26:03
67.5833332,25.096124,0.0,-29.834,-25.036,-34.781,52.217,03/12/2023 19:26:04
67.5833332,25.096124,0.0,-21.138,-26.385,-34.256,48.130,03/12/2023 19:26:04
67.5833332,25.096124,0.0,-10.269,-21.363,-37.854,44.663,03/12/2023 19:26:04
67.5833332,25.096124,0.0,-11.694,-22.787,-35.456,43.739,03/12/2023 19:26:04
67.5833332,25.096124,0.0,-17.315,-22.563,-35.231,45.278,03/12/2023 19:26:04
67.5833332,25.096124,0.0,-17.166,-24.062,-31.708,43.347,03/12/2023 19:26:05
67.5833332,25.096124,0.0,-17.241,-24.287,-31.033,43.013,03/12/2023 19:26:05
67.5833332,25.096124,0.0,-17.390,-24.811,-31.932,44.019,03/12/2023 19:26:05
67.5833332,25.096124,0.0,-18.140,-25.111,-33.057,45.303,03/12/2023 19:26:05
67.5833332,25.096124,0.0,-15.816,-23.387,-32.382,42.962,03/12/2023 19:26:05
67.5833332,25.096124,0.0,-17.465,-24.512,-32.232,44.100,03/12/2023 19:26:06
